Dia,Hora,Operacion,Cliente,Contenedor,Envase,Cantidad,Ubic.
2024-11-06,8:00 ,31706-1-1,Hector Reb...,MSKU-082622-0,Bultos,36,EA1
2024-11-06,8:00 ,31707-1-1,Hector Reb...,MRKU-310515-9,Bultos,36,EA1
2024-11-06,8:00 ,31704-1-1,J. Llorent...,TCKU-480393-2,Bultos,21,ANEX-A1
2024-11-06,8:00 ,31721-1-1,Borax Arge...,CAIU-288696-5,Bultos,20,PLZA
2024-11-06,8:00 ,31722-1-1,Borax Arge...,TEMU-183413-2,Bultos,20,PLZA
2024-11-06,8:30 ,31634-1-1,Lift Van I...,FCGU-224051-2,Bultos,63,EP-EX
2024-11-06,8:30 ,31635-1-1,Lift Van I...,TCNU-596220-8,Bultos,371,EP-EX
2024-11-06,8:30 ,31738-1-1,Valerio Ol...,MRKU-579884-9,Bultos,22,NV5
2024-11-06,8:30 ,31710-1-1,Minera San...,SUDU-762930-8,Bultos,20,PLZA
2024-11-06,8:30 ,31640-1-1,Leterago S...,SUDU-896206-2,Bultos,15,EA1
2024-11-06,8:30 ,31641-1-1,Leterago S...,MSKU-056293-4,Bultos,15,EA1
2024-11-06,8:30 ,31642-1-1,Leterago S...,MRSU-328593-7,Bultos,15,EA1
2024-11-06,8:30 ,31643-1-1,Leterago S...,GCXU-555624-8,Bultos,15,EA1
2024-11-06,8:30 ,31675-1-1,Leterago S...,MRKU-504719-6,Bultos,17,EA3
2024-11-06,9:00 ,31744-1-1,Hector Reb...,TCKU-646202-8,Bultos,18,EA5
2024-11-06,9:00 ,31740-1-1,Maringa Ma...,TCLU-544389-0,Bultos,60,EA9
2024-11-06,9:00 ,31741-1-1,Borax Arge...,PCIU-464848-1,Contenedor,32,EA3
2024-11-06,9:00 ,31742-1-1,Borax Arge...,PCIU-456582-8,Contenedor,32,EA3
2024-11-06,9:00 ,31765-1-1,Suabia Mad...,HLBU-143349-0,Contenedor,38,EA3
2024-11-06,9:00 ,31719-1-1,Isischu Sr...,DRYU-990197-5,Contenedor,16,EA9
2024-11-06,9:00 ,31720-1-1,Isischu Sr...,TIIU-461002-7,Contenedor,16,EA9
2024-11-06,9:30 ,31768-1-1,Leterago S...,MSKU-145004-0,Contenedor,52,EA8
