orden_ing,suborden,renglon,destino,dia,hora,observa,conocim2,Estado,id,cliente,tipo_oper,fecha_ing,contenedor,desc_merc,conocim1,dimension,tipo_cnt,volumen,Envase,fecha_egr,cantidad,bookings,kilos,precinto,salida_validada,salida_vacio_validada,fechaverif,ubicacion
31706,1,1,Remision,2024-11-06,8:00 ,TRP   09HS,245040069           ,En curso,31706-1-1,Hector Reb...,Exportacion,2024-11-01,MSKU-082622-0,Grlem24114...,245040069                     ,0,  ,-0.00,Bultos,2024-11-06,36,                    ,,,,,,EA1
31707,1,1,Remision,2024-11-06,8:00 ,TRP   09HS,245040069           ,En curso,31707-1-1,Hector Reb...,Exportacion,2024-11-01,MRKU-310515-9,Grlem24114...,245040069                     ,0,  ,-0.00,Bultos,2024-11-06,36,                    ,,,,,,EA1
31704,1,1,Remision,2024-11-06,8:00 ,EXOLGAN    10HS,BUEE13773600        ,En curso,31704-1-1,J. Llorent...,Exportacion,2024-11-01,TCKU-480393-2,Fc 1190 //...,BUEE13773600                  ,0,  ,-0.00,Bultos,2024-11-06,21,                    ,,,,,,ANEX-A1
31721,1,1,Remision,2024-11-06,8:00 ,EXOLGAN   13HS,61315276            ,En curso,31721-1-1,Borax Arge...,Exportacion,2024-11-01,CAIU-288696-5,Fac 11676 ...,61315276                      ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA
31722,1,1,Remision,2024-11-06,8:00 ,EXOLGAN    13HS,61315276            ,En curso,31722-1-1,Borax Arge...,Exportacion,2024-11-01,TEMU-183413-2,Fac 11676 ...,61315276                      ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA
31634,1,1,Remision,2024-11-06,8:30 ,TRP    15HS,BUA0329857          ,En curso,31634-1-1,Lift Van I...,Exportacion,2024-10-22,FCGU-224051-2,Jorge Sori...,BUA0329857                    ,0,  ,-0.00,Bultos,2024-11-06,63,                    ,,,,,,EP-EX
31635,1,1,Remision,2024-11-06,8:30 ,TRP    15HS,BUA0329857          ,En curso,31635-1-1,Lift Van I...,Exportacion,2024-10-22,TCNU-596220-8,Jorge Sori...,BUA0329857                    ,0,  ,-0.00,Bultos,2024-11-06,371,                    ,,,,,,EP-EX
31738,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4  15HS,244573548           ,En curso,31738-1-1,Valerio Ol...,Exportacion,2024-10-24,MRKU-579884-9,Grlem24110...,244573548                     ,0,  ,-0.00,Bultos,2024-11-06,22,ZIMUCRT906161/1     ,,,,,,NV5
31710,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4   05AM,246069278           ,En curso,31710-1-1,Minera San...,Exportacion,2024-11-01,SUDU-762930-8,Fact 14-41...,246069278                     ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA
31640,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4     13HS,245891014           ,En curso,31640-1-1,Leterago S...,Exportacion,2024-10-25,SUDU-896206-2,Grlae2476/...,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1
31641,1,1,Remision,2024-11-06,8:30 ,TERMINAL  4   13HS,245891014           ,En curso,31641-1-1,Leterago S...,Exportacion,2024-10-25,MSKU-056293-4,Grlae2476/...,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1
31642,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4   13HS,245891014           ,En curso,31642-1-1,Leterago S...,Exportacion,2024-10-25,MRSU-328593-7,Grlae2476/...,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1
31643,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4    13HS,245891014           ,En curso,31643-1-1,Leterago S...,Exportacion,2024-10-25,GCXU-555624-8,Grlae2476/...,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1
31675,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4       13HS,245891014           ,En curso,31675-1-1,Leterago S...,Exportacion,2024-10-31,MRKU-504719-6,Grlae2476/...,245891014                     ,0,  ,60.00,Bultos,2024-11-06,17,                    ,,,,,,EA3
31744,1,1,Remision,2024-11-06,9:00 ,TERMINAL 4   15HS,67979767            ,En curso,31744-1-1,Hector Reb...,Exportacion,2024-10-23,TCKU-646202-8,Grlae2469/...,67979767                      ,0,  ,-0.00,Bultos,2024-11-06,18,                    ,,,,,,EA5
31740,1,1,Remision,2024-11-06,9:00 ,TERMINAL 4   17HS,64645199            ,En curso,31740-1-1,Maringa Ma...,Exportacion,2024-11-04,TCLU-544389-0,Grlem24121...,64645199                      ,0,  ,-0.00,Bultos,2024-11-06,60,                    ,,,,,,EA9
